Symbol	Description
TATAMOTORS.BL	TATA MOTORS LTD.
TATAPOWER	Tata Power Company Limited
TATASTEEL	Tata Steel Limited
TATASTEEL.T0	TATASTEEL.T0
TATATECH	Tata Technologies Limited
TATSILV	Tata Mutual Fund - Tata Silver ETF Fund of Fund
TATVA	Tatva Chintan Pharma Chem Limited
TAURIAN.ST	Taurian MPS Limited
TBOTEK	TBO Tek Ltd
TBZ	Tribhovandas Bhimji Zaveri Limited
TCI	Transport Corporation of India Limited
TCIEXP	TCI Express Limited
TCIFINANCE	TCI Finance Limited
TCPLPACK	TCPL Packaging Limited
TCS	Tata Consultancy Services Limited
TDPOWERSYS	TD Power Systems Limited
TEAMGTY	Team India Guaranty Limited
TEAMLEASE	Teamlease Services Limited
TECH	Aditya Birla Sun Life Amc Ltd. - Absl Mutual Fund - Absl Nifty IT ETF
TECHD.ST	TechD Cybersecurity Limited
TECHERA.ST	Techera Engineering India Private Ltd.
TECHIN	Techindia Nirman Limited
TECHM	Tech Mahindra Limited
TECHM.BL	TECHM.BL
TECHNOE	Techno Electric & Engineering Company Limited
TECILCHEM	TECIL Chemicals and Hydro Power Limited
TEGA	Tega Industries Limited
TEJASCARGO.ST	Tejas Cargo India Ltd.
TEJASNET	Tejas Networks Limited
TEMBO	Tembo Global Industries Limited
TERASOFT	Tera Software Limited
TEXINFRA	Texmaco Infrastructure & Holdings Limited
TEXMOPIPES	Texmo Pipes and Products Limited
TEXRAIL	Texmaco Rail & Engineering Limited
TFCILTD	Tourism Finance Corporation of India Limited
TFL	Transwarranty Finance Limited
TGBHOTELS	TGB Banquets And Hotels Limited
TGL	Teerth Gopicon Ltd
THANGAMAYL	Thangamayil Jewellery Limited
THEINVEST	The Investment Trust Of India Limited
THEJO	Thejo Engineering Limited
THELEELA	Schloss Bangalore Ltd
THEMISMED	Themis Medicare Limited
THERMAX	Thermax Limited
THOMASCOOK	Thomas Cook  (India)  Limited
THOMASCOTT	Thomas Scott (India) Limited
THYROCARE	Thyrocare Technologies Limited
TI	Tilaknagar Industries Limited
TICL	Twamev Construction and Infrastructure Limited
TIIL	Technocraft Industries (India) Limited
TIINDIA	Tube Investments of India Limited
TIJARIA	Tijaria Polypipes Limited
TIL	TIL Limited
TIMESCAN-SM	TIMESCAN-SM
TIMETECHNO	Time Technoplast Limited
TIMKEN	Timken India Limited
TINNARUBR	Tinna Rubber and Infrastructure Limited
TIPSFILMS	Tips Films Limited
TIPSMUSIC	Tips Music Limited
TIRUMALCHM	Thirumalai Chemicals Limited
TIRUPATI.ST	SHREE TIRUPATI BALAJEE
TIRUPATIFL	Tirupati Forge Limited
TITAGARH	Titagarh Rail Systems Limited
TITAN	Titan Company Limited
TMB	Tamilnad Mercantile Bank Limited
TMCV	Tata Motors Limited
TMPV	Tata Motors Passenger Vehicles Limited
TNIDETF	Tata Nifty India Digital ETF
TNPETRO	Tamilnadu PetroProducts Limited
TNPL	Tamil Nadu Newsprint & Papers Limited
TNTELE	Tamilnadu Telecommunication Limited
TOKYOPLAST	Tokyo Plast International Limited
TOLINS	Tolins Tyres Ltd
TOP100CASE	TOP100CASE
TOP10ADD	TOP10ADD
TOP20	Mirae Asset Nifty Top 20 Equal Weight ETF
TORNTPHARM	Torrent Pharmaceuticals Limited
TORNTPOWER	Torrent Power Limited
TOTAL	Total Transport Systems Limited
TOUCHWOOD	Touchwood Entertainment Limited
TPHQ	Teamo Productions HQ Limited
TPLPLASTEH	TPL Plastech Limited
TRACXN	Tracxn Technologies Limited
TRANSRAILL	TRANSRAILL
TRANSWIND-SM	TRANSWIND-SM
TRANSWORLD	Transworld Shipping Lines Limited
TRAVELFOOD	TRAVEL FOOD SERVICES LIMITED
TREEHOUSE	Tree House Education & Accessories Limited
TREJHARA	TREJHARA SOLUTIONS LIMITED
TREL	Transindia Real Estate Limited
TRENT	Trent Limited
TRF	TRF Limited
TRIDENT	Trident Limited
TRIDENT.T0	TRIDENT.T0
TRIGYN	Trigyn Technologies Limited
TRITURBINE	Triveni Turbine Limited
TRIVENI	Triveni Engineering & Industries Limited
TRU	TruCap Finance Limited
TRUALT	TRUALT BIOENERGY LIMITED
TRUST.ST	TRUST FINTECH LTD
TSFINV	TSF INVESTMENTS LTD
TTKHLTCARE	TTK Healthcare Limited
TTKPRESTIG	TTK Prestige Limited
TTL	T T Limited
TTML	Tata Teleservices (Maharashtra) Limited
TVSELECT	TVS Electronics Limited
TVSHLTD	TVS Holdings Limited
TVSMNCRPS-P1	TVS MOTORS COMPANY PRF LTD
TVSMOTOR	TVS Motor Company Limited
TVSSCS	TVS Supply Chain Solutions Limited
TVSSRICHAK	TVS Srichakra Limited
TVTODAY	TV Today Network Limited
TVVISION	TV Vision Limited
UBL	United Breweries Limited
UCAL	UCAL Limited
UCOBANK	UCO Bank
UDS	UPDATER SERVICES LIMITED
UEL	Ujaas Energy Limited
UFBL	UNITED FOODBRANDS LIMITED
UFLEX	UFLEX Limited
UFO	UFO Moviez India Limited
UGARSUGAR	The Ugar Sugar Works Limited
UGROCAP	Ugro Capital Limited
UJJIVANSFB	Ujjivan Small Finance Bank Limited
ULTRACEMCO	UltraTech Cement Limited
UMA-SM	UMA-SM
UMAEXPORTS	Uma Exports Limited
UMANGDAIRY.BL	UMANGDAIRY.BL
UMESLTD	Usha Martin Education & Solutions Limited
UMIYA-MRO	Umiya Buildcon Limited
UNICHEMLAB	Unichem Laboratories Limited
UNIDT	United Drilling Tools Limited
UNIECOM	UNICOMMERCE ESOLUTIONS LIMITED
UNIENTER	Uniphos Enterprises Limited
UNIINFO	Uniinfo Telecom Services Limited
UNILEX	UNILEX
UNILEX-SM	UNILEX COLOURS AND CHEM L
UNIMECH	UNIMECH
UNIONBANK	Union Bank of India
UNIPARTS	Uniparts India Limited
UNITDSPR	United Spirits Limited
UNITECH	Unitech Limited
UNITEDPOLY	United Polyfab Gujarat Limited
UNITEDTEA	The United Nilgiri Tea Estates Company Limited
UNIVAFOODS	Univa Foods Limited
UNIVASTU	Univastu India Limited
UNIVCABLES	Universal Cables Limited
UNIVPHOTO	Universus Photo Imagings Limited
UNOMINDA	UNO Minda Limited
UPL	UPL Limited
UPL.BL	UPL LIMITED
URAVIDEF	Uravi Defence and Technology Limited
URBANCO	Urban Company Limited
URJA	Urja Global Limited
USASEEDS.ST	USASEEDS.ST
USHAMART	Usha Martin Limited
USK	UDAYSHIVAKUMAR INFRA ORD (BSE)
UTIAMC	UTI Asset Management Company Limited
UTKAR.RE	UTKAR.RE
UTKARSHBNK	UTKARSH SMALL FINANCE BANK ORD (BSE)
UTLSOLAR	FUJIYAMA POWER SYSTEMS L
UTTAMSUGAR	Uttam Sugar Mills Limited
UYFINCORP	U. Y. Fincorp Limited
V2RETAIL	V2 Retail Limited
VADILALIND	Vadilal Industries Limited
VAIBHAVGBL	Vaibhav Global Limited
VAISHALI	Vaishali Pharma Limited
VAKRANGEE	Vakrangee Limited
VAL30IETF	VAL30IETF
VALECHAENG	Valecha Engineering Limited
VALIANTLAB	Valiant Laboratories Limited
VALIANTLAB.BL	VALIANTLAB.BL
VALIANTORG	Valiant Organics Limited
VARDHACRLC	Vardhman Acrylics Limited
VARDMNPOLY	Vardhman Polytex Limited
VARROC	Varroc Engineering Limited
VASCONEQ	Vascon Engineers Limited
VASWANI	Vaswani Industries Limited
VBL	Varun Beverages Limited
VCL	Vaxtex Cotfab Limited
VEDL	Vedanta Limited
VEDL.BL	VEDL.BL
VEDL.T0	VEDANTA LIMITED
VEEDOL	Veedol Corporation Limited
VEEKAYEM-SM	VEEKAYEM-SM
VENKEYS	Venky's (India) Limited
VENTIVE	Ventive Hospitality Ltd
VENUSPIPES	Venus Pipes & Tubes Limited
VENUSREM	Venus Remedies Limited
VERA.SM	VERA SYNTHETIC LTD
VERANDA	Veranda Learning Solutions Limited
VERANDA.BL	VERANDA.BL
VERTEXPLUS.ST	Vertexplus Technologies Ltd
VERTOZ	Vertoz Advertising Limited
VESUVIUS	Vesuvius India Limited
VETO	Veto Switchgears And Cables Limited
VGUARD	V-Guard Industries Limited
VHL	Vardhman Holdings Limited
VHLTD	Viceroy Hotels Limited
VIAZ.ST	Viaz Tyres Limited
VIDHIING	Vidhi Specialty Food Ingredients Limited
VIJAYA	Vijaya Diagnostic Centre Limited
VIJAYPD.ST	VijayPD Ceutical Limited
VIJIFIN	Viji Finance Limited
VIKASECO	Vikas EcoTech Limited
VIKASLIFE	Vikas Lifecare Limited
VIKRAMSOLR	VIKRAM SOLAR LIMITED
VIKRAN	VIKRAN ENGINEERING LTD
VIMTALABS	Vimta Labs Limited
VINATIORGA	Vinati Organics Limited
VINCOFE	Vintage Coffee and Beverages Limited
VINDHYATEL	Vindhya Telelinks Limited
VINEETLAB	Vineet Laboratories Limited
VINNY	Vinny Overseas Limited
VINYLINDIA	Vinyl Chemicals (India) Limited
VIPCLOTHNG	VIP Clothing Limited
VIPIND	VIP Industries Limited
VIPULLTD	Vipul Limited
VIRINCHI	VIRINCHI ORD (BSE)
VISAKAIND	Visaka Industries Limited
VISAMAN.ST	Visaman Global Sales Ltd
VISASTEEL	Visa Steel Limited
VISHNU	Vishnu Chemicals Limited
VISHWARAJ	Vishwaraj Sugar Industries Limited
VIVIDHA	Visagar Polytex Limited
VIYASH	Viyash Scientific Limited
VLEGOV	VL E-Governance & IT Solutions Limited
VLSFINANCE	VLS Finance Limited
VMART	V-Mart Retail Limited
VMART.BL	VMART.BL
VMM	Vishal Mega Mart Ord Shs
VOLERCAR.ST	Voler Car Ltd
VOLTAMP	Voltamp Transformers Limited
VOLTAS	Voltas Limited
VPRPL	Vishnu Prakash R Punglia Limited
VRAJ	Vraj Iron and Steel Ltd
VRLLOG	VRL Logistics Limited
VSSL	Vardhman Special Steels Limited
VSTIND	VST Industries Limited
VSTL	Vibhor Steel Tubes Limited
VSTTILLERS	V.S.T Tillers Tractors Limited
VTL	Vardhman Textiles Limited
WAAREEENER	Waaree Energies Limited
WAAREEENER.BL	WAAREE ENERGIES LIMITED
WAAREEINDO.BL	WAAREEINDO.BL
WAAREERTL	WAAREE RENEWABLE TECHNOLOGIES LTD
WABAG	VA Tech Wabag Limited
WAKEFIT	WAKEFIT INNOVATIONS LTD
WALCHANNAG	Walchandnagar Industries Limited
WANBURY	Wanbury Limited
WCIL	Western Carriers India Ltd
WEALTH	Wealth First Portfolio Managers Limited
WEBELSOLAR	Websol Energy System Limited
WEIZMANIND	Weizmann Limited
WEL	Wonder Electricals Limited
WELCORP	Welspun Corp Limited
WELENT	Welspun Enterprises Limited
WELINV	Welspun Investments and Commercials Limited
WELSPUNLIV	Welspun Living Limited
WENDT	Wendt (India) Limited
WESTLIFE	WESTLIFE FOODWORLD LIMITED
WEWIN	WE WIN LIMITED
WEWORK	WEWORK INDIA MANAGEMENT L
WHEELS	Wheels India Limited
WHIRLPOOL	Whirlpool of India Limited
WILLAMAGOR	Williamson Magor & Company Limited
WINDLAS	Windlas Biotech Limited
WINDMACHIN	Windsor Machines Limited
WINNY.ST	Winny Immigra & Edu Ser L
WINSOME	Winsome Yarns Limited
WIPL	The Western India Plywoods Limited
WIPRO	Wipro Limited
WIPRO.T0	WIPRO.T0
WOCKPHARMA	Wockhardt Limited
WONDERLA	Wonderla Holidays Limited
WORTHPERI	Worth Peripherals Limited
WSI	W S Industries (I) Limited
WSTCSTPAPR	West Coast Paper Mills Limited
WTICAB.ST	Wise Travel India Ltd
XCHANGING	Xchanging Solutions Limited
XELPMOC	Xelpmoc Design And Tech Limited
XPROINDIA	Xpro India Limited
XTGLOBAL	XTGlobal Infotech Limited
YASHO	YASHO INDUSTRIES ORD (BSE)
YASHOPTICS.ST	YASH OPTICS AND
YATHARTH	Yatharth Hospital & Trauma Care Services Limited
YATRA	Yatra Online Limited
YESBANK	Yes Bank Limited
YESBANK.BL	YESBANK.BL
YESBANK.T0	YES BANK LIMITED
YUKEN	Yuken India Limited
ZAGGLE	Zaggle Prepaid Ocean Services Limited
ZAGGLE.BL	Zaggle Prepa Ocean Ser L
ZEEL	Zee Entertainment Enterprises Limited
ZEELEARN	Zee Learn Limited
ZEEMEDIA	Zee Media Corporation Limited
ZENITHEXPO	Zenith Exports Limited
ZENITHSTL	Zenith Steel Pipes & Industries Limited
ZENSARTECH	Zensar Technologies Limited
ZENTEC	Zen Technologies Limited
ZFCVINDIA	ZF Commercial Vehicle Control Systems India Limited
ZIMLAB	Zim Laboratories Limited
ZODIAC	Zodiac Energy Limited
ZODIACLOTH	Zodiac Clothing Company Limited
ZOTA	Zota Health Care LImited
ZUARI	Zuari Agro Chemicals Limited
ZUARIIND	ZUARI INDUSTRIES LIMITED
ZYDUSLIFE	Zydus Lifesciences Limited
ZYDUSWELL	Zydus Wellness Limited
